tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1994--usa,Group A,1994-06-26,USA,Romania,0,1,"Rose Bowl, Pasadena",Romania,1505.39,1487.23,1481.52,1511.1,18.16
1994--usa,Group A,1994-06-26,Switzerland,Colombia,0,2,"Stanford Stadium, Stanford",Colombia,1444.92,1425.4,1409.0,1461.32,19.52
1994--usa,Group B,1994-06-19,Cameroon,Sweden,2,2,"Rose Bowl, Pasadena",Draw,1525.15,1485.31,1520.09,1490.37,39.84
1994--usa,Group B,1994-06-20,Brazil,Russia,2,0,"Stanford Stadium, Stanford",Brazil,1805.3,1500.0,1812.17,1493.13,305.3
1994--usa,Group B,1994-06-24,Brazil,Cameroon,3,0,"Stanford Stadium, Stanford",Brazil,1812.17,1520.09,1820.74,1511.52,292.08
1994--usa,Group B,1994-06-24,Sweden,Russia,3,1,"Pontiac Silverdome, Pontiac",Sweden,1490.37,1493.13,1516.32,1467.18,-2.76
1994--usa,Group B,1994-06-28,Russia,Cameroon,6,1,"Stanford Stadium, Stanford",Russia,1467.18,1511.52,1506.53,1472.17,-44.34
1994--usa,Group B,1994-06-28,Brazil,Sweden,1,1,"Pontiac Silverdome, Pontiac",Draw,1820.74,1516.32,1805.34,1531.72,304.42
1994--usa,Group C,1994-06-17,Germany,Bolivia,1,0,"Soldier Field, Chicago",Germany,1499.61,1420.86,1512.52,1407.95,78.75
1994--usa,Group C,1994-06-17,Spain,South Korea,2,2,"Cotton Bowl, Dallas",Draw,1601.28,1350.17,1587.29,1364.16,251.11
1994--usa,Group C,1994-06-21,Germany,Spain,1,1,"Soldier Field, Chicago",Draw,1512.52,1587.29,1513.94,1585.87,-74.77
1994--usa,Group C,1994-06-23,South Korea,Bolivia,0,0,"Foxboro Stadium, Foxborough",Draw,1364.16,1407.95,1363.8,1408.31,-43.79
1994--usa,Group C,1994-06-27,Bolivia,Spain,1,3,"Soldier Field, Chicago",Spain,1408.31,1585.87,1388.85,1605.33,-177.56
1994--usa,Group C,1994-06-27,Germany,South Korea,3,2,"Cotton Bowl, Dallas",Germany,1513.94,1363.8,1523.54,1354.2,150.14
1994--usa,Group D,1994-06-21,Argentina,Greece,4,0,"Foxboro Stadium, Foxborough",Argentina,1687.27,1500.0,1702.52,1484.75,187.27
